// Duplicates
5-178.023590087891-837.758056640625	Subaru WRX STI NR4/Fiat 131 Abarth Rally/Renault Sport Megane R.S. RX
5-178.023590087891-837.758056640625	Subaru WRX STI NR4
5-178.023590087891-837.758056640625	Fiat 131 Abarth Rally
5-178.023590087891-837.758056640625	Renault Sport Megane R.S. RX

// Duplicates
5-167.551605224609-890.117980957031	Lancia Delta S4/Peugeot 208 R2
5-167.551605224609-890.117980957031	Lancia Delta S4
5-167.551605224609-890.117980957031	Lancia Delta S4 Rallycross
5-167.551605224609-890.117980957031	Peugeot 208 R2

// Duplicates
5-178.023590087891-785.398193359375	Mitsubishi Lancer Evolution X/Peugeot 208 R5 T16
5-178.023590087891-785.398193359375	Mitsubishi Lancer Evolution X
5-178.023590087891-785.398193359375	Peugeot 208 R5 T16

// Duplicates 
5-178.023590087891-774.926208496094	Skoda Fabia R5 / Volkswagen Polo GTI R5
5-178.023590087891-774.926208496094	Skoda Fabia R5
5-178.023590087891-774.926208496094	Volkswagen Polo GTI R5

// Duplicates 
6-188.495559692383-811.578125	Ford Fiesta Rallycross
6-188.495559692383-811.578125	Ford Fiesta Rallycross (MK8)
6-188.495559692383-811.578125	Ford Fiesta Rallycross MK7
6-188.495559692383-811.578125	Ford Fiesta RXS EVO 5

// Duplicates 
6-146.607666015625-733.038269042969	Mitsubishi Lancer Evolution VI/BMW M2 Competition
6-146.607666015625-733.038269042969	Mitsubishi Lancer Evolution VI
6-146.607666015625-733.038269042969	BMW M2 Competition

// Duplicates 
6-178.023590087891-785.398193359375	Ford Focus RS Rally 2001/Seat Ibiza RX
6-178.023590087891-785.398193359375	Ford Focus RS Rally 2001
6-178.023590087891-785.398193359375	Seat Ibiza RX

// Duplicates 
6-178.023590087891-837.758056640625	Renault Sport Clio R.S. RX/Peugeot 208 WRX
6-178.023590087891-837.758056640625	Renault Sport Clio R.S. RX
6-178.023590087891-837.758056640625	Peugeot 208 WRX

// Duplicates
6-178.023590087891-774.926208496094	Skoda Fabia Rally/Subaru WRX STX Rallycross
